2018-02-04 18:57:45 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-04 18:57:45', '223.87.41.85', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 01:07:34 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 01:07:34', '140.205.205.23', 'Go-http-client/1.1', 'http://ftotp.iotor.site:443:443/index.php?')
2018-02-05 08:32:21 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 08:32:21', '110.184.51.152', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 08:33:21 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 08:33:21', '101.226.33.227', 'Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 08:35:37 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 08:35:37', '139.207.110.168', 'Mozilla/5.0 (Linux; Android 5.1.1; Redmi Note 3 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043632 Safari/537.36 MicroMessenger/6.5.23.1180 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 08:36:07 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 08:36:07', '125.71.67.135', 'Mozilla/5.0 (Linux; Android 6.0; ZTE BV0701 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043632 Safari/537.36 MicroMessenger/6.5.13.1100 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 08:46:04 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 08:46:04', '101.206.169.11', 'Mozilla/5.0 (Linux; Android 5.1.1; vivo X7Plus Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043807 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/4G Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 08:54:30 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 08:54:30', '139.207.84.3', 'Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_2 like Mac OS X) AppleWebKit/604.3.5 (KHTML, like Gecko) Mobile/15B202 MicroMessenger/6.6.1 NetType/4G Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 08:56:15 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 08:56:15', '171.221.144.167', 'Mozilla/5.0 (Linux; Android 6.0; ZTE BV0701 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043632 Safari/537.36 MicroMessenger/6.6.1.1220(0x26060133) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:00:54 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:00:54', '118.112.194.25', 'Mozilla/5.0 (Linux; Android 7.0; STF-AL10 Build/HUAWEISTF-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:10:37 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:10:37', '118.114.0.60', 'Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-A7009 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 09:11:02 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 09:11:02', '110.184.54.172', 'Mozilla/5.0 (Linux; Android 6.0; Hisense F30 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36 MQQBrowser/5.6', 'http://ftotp.iotor.site:443/index.php?')
